nohup: ignoring input
session: 0, experiment: 0
epoch 100,loss 0.0032,train acc 0.895,test acc 0.448
epoch 200,loss 0.0002,train acc 1.000,test acc 0.178
epoch 300,loss 0.0000,train acc 1.000,test acc 0.116
epoch 400,loss 0.0000,train acc 1.000,test acc 0.129
epoch 500,loss 0.0000,train acc 1.000,test acc 0.199
epoch 600,loss 0.0000,train acc 1.000,test acc 0.237
epoch 700,loss 0.0000,train acc 1.000,test acc 0.237
epoch 800,loss 0.0000,train acc 1.000,test acc 0.237
epoch 900,loss 0.0000,train acc 1.000,test acc 0.237
epoch 1000,loss 0.0000,train acc 1.000,test acc 0.237
session: 0, experiment: 1
epoch 100,loss 0.0051,train acc 0.828,test acc 0.415
epoch 200,loss 0.0007,train acc 0.987,test acc 0.415
epoch 300,loss 0.0001,train acc 0.997,test acc 0.415
epoch 400,loss 0.0000,train acc 1.000,test acc 0.415
epoch 500,loss 0.0000,train acc 1.000,test acc 0.510
epoch 600,loss 0.0000,train acc 1.000,test acc 0.473
epoch 700,loss 0.0000,train acc 1.000,test acc 0.506
epoch 800,loss 0.0000,train acc 1.000,test acc 0.452
epoch 900,loss 0.0000,train acc 1.000,test acc 0.452
epoch 1000,loss 0.0000,train acc 1.000,test acc 0.432
session: 0, experiment: 2
epoch 100,loss 0.0042,train acc 0.923,test acc 0.295
epoch 200,loss 0.0006,train acc 0.979,test acc 0.344
epoch 300,loss 0.0001,train acc 1.000,test acc 0.295
epoch 400,loss 0.0000,train acc 1.000,test acc 0.295
epoch 500,loss 0.0000,train acc 1.000,test acc 0.295
epoch 600,loss 0.0000,train acc 1.000,test acc 0.295
epoch 700,loss 0.0000,train acc 1.000,test acc 0.295
epoch 800,loss 0.0000,train acc 1.000,test acc 0.295
epoch 900,loss 0.0000,train acc 1.000,test acc 0.295
epoch 1000,loss 0.0000,train acc 1.000,test acc 0.295
session: 0, experiment: 3
epoch 100,loss 0.0043,train acc 0.838,test acc 0.166
epoch 200,loss 0.0004,train acc 0.993,test acc 0.237
epoch 300,loss 0.0001,train acc 1.000,test acc 0.353
epoch 400,loss 0.0000,train acc 1.000,test acc 0.353
epoch 500,loss 0.0000,train acc 1.000,test acc 0.353
epoch 600,loss 0.0000,train acc 1.000,test acc 0.353
epoch 700,loss 0.0000,train acc 1.000,test acc 0.353
epoch 800,loss 0.0000,train acc 1.000,test acc 0.353
epoch 900,loss 0.0000,train acc 1.000,test acc 0.353
epoch 1000,loss 0.0000,train acc 1.000,test acc 0.353
session: 0, experiment: 4
epoch 100,loss 0.0041,train acc 0.867,test acc 0.303
epoch 200,loss 0.0009,train acc 0.934,test acc 0.253
epoch 300,loss 0.0002,train acc 0.995,test acc 0.253
epoch 400,loss 0.0000,train acc 1.000,test acc 0.253
epoch 500,loss 0.0000,train acc 1.000,test acc 0.253
epoch 600,loss 0.0000,train acc 1.000,test acc 0.253
epoch 700,loss 0.0000,train acc 1.000,test acc 0.253
epoch 800,loss 0.0000,train acc 1.000,test acc 0.253
epoch 900,loss 0.0000,train acc 1.000,test acc 0.253
epoch 1000,loss 0.0000,train acc 1.000,test acc 0.253
session: 0, experiment: 5
epoch 100,loss 0.0011,train acc 0.993,test acc 0.606
epoch 200,loss 0.0001,train acc 1.000,test acc 0.763
epoch 300,loss 0.0000,train acc 1.000,test acc 0.643
epoch 400,loss 0.0000,train acc 1.000,test acc 0.618
epoch 500,loss 0.0000,train acc 1.000,test acc 0.556
epoch 600,loss 0.0000,train acc 1.000,test acc 0.556
epoch 700,loss 0.0000,train acc 1.000,test acc 0.556
epoch 800,loss 0.0000,train acc 1.000,test acc 0.556
epoch 900,loss 0.0000,train acc 1.000,test acc 0.556
epoch 1000,loss 0.0000,train acc 1.000,test acc 0.564
session: 0, experiment: 6
epoch 100,loss 0.0082,train acc 0.600,test acc 0.266
epoch 200,loss 0.0014,train acc 0.962,test acc 0.344
epoch 300,loss 0.0003,train acc 1.000,test acc 0.539
epoch 400,loss 0.0001,train acc 1.000,test acc 0.556
epoch 500,loss 0.0000,train acc 1.000,test acc 0.556
epoch 600,loss 0.0000,train acc 1.000,test acc 0.598
epoch 700,loss 0.0000,train acc 1.000,test acc 0.552
epoch 800,loss 0.0000,train acc 1.000,test acc 0.560
epoch 900,loss 0.0000,train acc 1.000,test acc 0.573
