nohup: ignoring input
session: 0, experiment: 0
epoch 100,loss 0.0078,train acc 0.792,test acc 0.295
epoch 200,loss 0.0011,train acc 0.964,test acc 0.295
epoch 300,loss 0.0005,train acc 0.964,test acc 0.295
epoch 400,loss 0.0002,train acc 0.964,test acc 0.411
epoch 500,loss 0.0001,train acc 0.964,test acc 0.411
epoch 600,loss 0.0001,train acc 1.000,test acc 0.295
epoch 700,loss 0.0000,train acc 1.000,test acc 0.324
epoch 800,loss 0.0000,train acc 1.000,test acc 0.295
epoch 900,loss 0.0000,train acc 1.000,test acc 0.365
epoch 1000,loss 0.0000,train acc 1.000,test acc 0.365
session: 0, experiment: 1
epoch 100,loss 0.0093,train acc 0.639,test acc 0.295
epoch 200,loss 0.0014,train acc 0.923,test acc 0.398
epoch 300,loss 0.0003,train acc 1.000,test acc 0.382
epoch 400,loss 0.0001,train acc 1.000,test acc 0.444
epoch 500,loss 0.0000,train acc 1.000,test acc 0.415
epoch 600,loss 0.0000,train acc 1.000,test acc 0.448
epoch 700,loss 0.0008,train acc 0.720,test acc 0.257
epoch 800,loss 0.0000,train acc 1.000,test acc 0.411
epoch 900,loss 0.0000,train acc 1.000,test acc 0.386
epoch 1000,loss 0.0000,train acc 1.000,test acc 0.448
session: 0, experiment: 2
epoch 100,loss 0.0081,train acc 0.661,test acc 0.145
epoch 200,loss 0.0018,train acc 0.913,test acc 0.295
epoch 300,loss 0.0004,train acc 0.980,test acc 0.295
epoch 400,loss 0.0002,train acc 0.980,test acc 0.245
epoch 500,loss 0.0001,train acc 0.980,test acc 0.220
epoch 600,loss 0.0001,train acc 0.980,test acc 0.166
epoch 700,loss 0.0001,train acc 1.000,test acc 0.237
epoch 800,loss 0.0000,train acc 0.992,test acc 0.187
epoch 900,loss 0.0000,train acc 1.000,test acc 0.187
epoch 1000,loss 0.0000,train acc 1.000,test acc 0.216
session: 0, experiment: 3
epoch 100,loss 0.0098,train acc 0.446,test acc 0.183
epoch 200,loss 0.0017,train acc 0.967,test acc 0.241
epoch 300,loss 0.0003,train acc 1.000,test acc 0.419
epoch 400,loss 0.0001,train acc 1.000,test acc 0.523
epoch 500,loss 0.0000,train acc 1.000,test acc 0.527
epoch 600,loss 0.0000,train acc 1.000,test acc 0.515
epoch 700,loss 0.0000,train acc 1.000,test acc 0.519
epoch 800,loss 0.0000,train acc 1.000,test acc 0.523
epoch 900,loss 0.0000,train acc 1.000,test acc 0.527
epoch 1000,loss 0.0000,train acc 1.000,test acc 0.527
session: 0, experiment: 4
epoch 100,loss 0.0092,train acc 0.575,test acc 0.000
epoch 200,loss 0.0033,train acc 0.789,test acc 0.071
epoch 300,loss 0.0006,train acc 0.966,test acc 0.191
epoch 400,loss 0.0001,train acc 1.000,test acc 0.129
epoch 500,loss 0.0001,train acc 1.000,test acc 0.170
epoch 600,loss 0.0000,train acc 1.000,test acc 0.158
epoch 700,loss 0.0000,train acc 1.000,test acc 0.149
epoch 800,loss 0.0000,train acc 1.000,test acc 0.141
epoch 900,loss 0.0000,train acc 1.000,test acc 0.133
epoch 1000,loss 0.0000,train acc 1.000,test acc 0.124
session: 0, experiment: 5
epoch 100,loss 0.0051,train acc 0.807,test acc 0.000
epoch 200,loss 0.0009,train acc 0.943,test acc 0.000
epoch 300,loss 0.0002,train acc 1.000,test acc 0.071
epoch 400,loss 0.0001,train acc 1.000,test acc 0.071
epoch 500,loss 0.0000,train acc 1.000,test acc 0.071
epoch 600,loss 0.0000,train acc 1.000,test acc 0.071
epoch 700,loss 0.0000,train acc 1.000,test acc 0.071
epoch 800,loss 0.0000,train acc 1.000,test acc 0.071
epoch 900,loss 0.0000,train acc 1.000,test acc 0.145
epoch 1000,loss 0.0000,train acc 1.000,test acc 0.145
session: 0, experiment: 6
